"...1","year","Autres impôts, taxes et versements assimilés","Ventes de marchandises","Production vendue biens","Production vendue services","Chiffres d’affaires nets","Production stockée","Production immobilisée","Subventions d’exploitation","Reprises sur amortissements et provisions, transfert de charges","Autres produits","Total des produits d’exploitation","Achats de marchandises (y compris droits de douane)","Variation de stock (marchandises)","Achats de matières premières et autres approvisionnements","Variation de stock (matières premières et approvisionnements)","Autres achats et charges externes","Impôts, taxes et versements assimilés","Salaires et traitements","Charges sociales","Autres charges","Total des charges d’exploitation","Résultat d'exploitation","Bénéfice attribué ou perte transférée","Perte supportée ou bénéfice transféré","Produits financiers de participations","Produits des autres valeurs mobilières et créances de l’actif immobilisé","Autres intérêts et produits assimilés","Reprises sur provisions et transferts de charges financier","Différences positives de change","Produits nets sur cessions de valeurs mobilières de placement","Total des produits financiers","Dotations financières sur amortissements et provisions","Intérêts et charges assimilées","Différences négatives de change","Charges nettes sur cessions de valeurs mobilières de placement","Total des charges financières","Résultat financier","Résultat en cours avant impôts","Produits exceptionnels sur opérations de gestion","Produits exceptionnels sur opérations en capital","Reprises sur provisions et transferts de charges exceptionnel","Total des produits exceptionnels","Charges exceptionnelles sur opérations de gestion","Charges exceptionnelles sur opérations en capital","Dotations exceptionnelles aux amortissements et provisions","Total des charges exceptionnelles","Résultat exceptionnel","Participation des salariés aux résultats de l’entreprise","Impôts sur les bénéfices","Total des produits","Total des charges","Bénéfices ou perte (Total des produits ‐ Total des charges)","Impôts différés (compte de résultat)","Résultat net des sociétés mises en équivalence","Résultat net des entreprises intégrées","Résultat Groupe (Résultat net consolidé)","Part des intérêts minoritaires (Résultat hors groupe)","Résultat net part du groupe (part de la société mère)","Rémunération d’intermédiaires et honoraires (hors rétrocessions)","Location, charges locatives et de copropriété","Effectif moyen du personnel","Sous‐traitance","Personnel extérieur à l’entreprise","Rétrocessions d’honoraires, commissions et courtages","Taxe professionnelle","Montant de la TVA. collectée","Total TVA. déductible sur biens et services","Dividendes","siren","denomination","enthic","postal_code","town","ape","ape_name","ape_len","ape_division","ape_groupe","ape_classe","ape_sous_classe","ess_N° IDENTITE ENTREPRISE (SIREN)","ess_RAISON SOCIALE","ess_ENSEIGNE","ess_SIGLE","ess_CP VILLE","ess_FORME JURIDIQUE","is_ess"
103,2012,NA,11290,NA,2828239,2839529,NA,10000,4000,23807,3,NA,NA,NA,776333,-809,726741,19483,588670,206010,46,2450947,426392,NA,NA,NA,1075,NA,NA,NA,12969,NA,NA,9620,NA,NA,9620,4423,430815,NA,13792,NA,13792,NA,1792,NA,2222,11570,NA,139493,2905175,2602283,302892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330714569,"SIRE DRAINAGE",34,"86370","VIVONNE","0161Z","Activités de soutien aux cultures",5,1,16,161,"0161Z",NA,NA,NA,NA,NA,NA,FALSE
104,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6823,965,3535,1078,214,12736,-12736,NA,NA,7694,24882,8541,NA,NA,NA,41117,NA,NA,NA,NA,NA,41117,28381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2979,41117,15715,25402,NA,NA,NA,NA,NA,NA,6230,NA,NA,NA,NA,NA,NA,NA,NA,NA,331456012,"2BR",306,"75005","PARIS","5814Z","Édition de revues et périodiques",5,58,581,5814,"5814Z",NA,NA,NA,NA,NA,NA,FALSE
105,2012,NA,2451126,NA,73163,2524289,NA,NA,NA,5343,2494,2532126,2376948,NA,7359,NA,386152,2860,51705,17235,NA,2490106,42020,NA,NA,16,NA,NA,NA,NA,NA,16,NA,15194,NA,NA,15194,-15178,NA,687,NA,NA,NA,7795,NA,NA,7795,-7108,NA,NA,2532830,2513095,19734,NA,NA,NA,NA,NA,NA,9817,141515,2,63604,NA,10764,272,365111,114315,NA,331476671,"MB YACHTING",636,"13009","MARSEILLE","4764Z","Commerce de détail d'articles de sport en magasin spécialisé",5,47,476,4764,"4764Z",NA,NA,NA,NA,NA,NA,FALSE
106,2012,NA,NA,NA,8455,8455,NA,NA,NA,NA,1,8455,NA,NA,NA,NA,9714,71,NA,NA,1,9786,-1331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,683,NA,NA,683,NA,NA,NA,8455,10469,-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331662916,"SOCIETE D.D.M.",31,"75011","PARIS","4644Z","Commerce de gros de vaisselle, verrerie et produits d'entretien",5,46,464,4644,"4644Z",NA,NA,NA,NA,NA,NA,FALSE
107,2012,NA,NA,NA,46963286,46963286,NA,NA,NA,NA,311,46963597,NA,NA,NA,NA,41731763,206837,972855,417267,2776,43335871,3627726,NA,NA,NA,NA,120180,289458,23019,NA,432657,21269,5753,NA,NA,216287,216371,3844097,NA,NA,NA,NA,NA,NA,NA,98,-98,NA,1314549,47396255,44866805,2529450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331832675,"INTERNATIONAL CHARTERING SYSTEMS S.A",915,"75017","PARIS","5229B","Affrètement et organisation des transports",5,52,522,5229,"5229B",NA,NA,NA,NA,NA,NA,FALSE
108,2012,NA,NA,NA,276948,276948,2926,NA,363,2901,4,283142,NA,NA,NA,NA,157631,4925,77528,24442,828,274043,9099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,11,9110,2014,7500,NA,9514,NA,14050,NA,15341,-5828,NA,NA,292656,289373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332626860,"LA MAISON DE L'IMMOBILIER",1010,"30100","ALES","6831Z","Agences immobilières",5,68,683,6831,"6831Z",NA,NA,NA,NA,NA,NA,FALSE
109,2012,NA,6377609,NA,110678,6488287,NA,NA,NA,2596,3669,6494552,5308632,50159,3977,-4232,NA,52901,392389,118816,1942,6365546,129006,NA,NA,24131,NA,10157,NA,NA,NA,NA,NA,9083,NA,NA,9083,25205,154211,3252,42560,927,46739,16649,42560,91,59300,NA,NA,34268,6575580,6468198,107382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333072833,"LYNEL'DO",155,"44480","DONGES","4711D","Supermarchés",5,47,471,4711,"4711D",NA,NA,NA,NA,NA,NA,FALSE
110,2012,NA,NA,NA,5583840,5583840,NA,NA,NA,13308,149,5597298,NA,NA,2621,NA,2175688,177385,2420752,753456,31,5584294,13003,NA,NA,NA,NA,205,NA,NA,NA,205,NA,14283,NA,NA,NA,-14078,-1074,110,47525,NA,47636,17717,8973,NA,NA,20945,NA,NA,5645140,5625269,19870,NA,NA,NA,NA,NA,NA,15237,146667,102,5101,NA,NA,58301,1093977,367243,1e+05,333306801,"ABEILLE RUSH",64,"59350","SAINT-ANDRE-LEZ-LILLE","4941B","Transports routiers de fret de proximité",5,49,494,4941,"4941B",NA,NA,NA,NA,NA,NA,FALSE
111,2012,NA,NA,2121785,4793,2126579,-16258,NA,NA,1485,2,2111807,NA,NA,1054759,15217,271474,38119,424655,133344,549,1988294,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,8725,-8720,114793,NA,NA,NA,NA,NA,NA,NA,1,-1,NA,40208,2111812,NA,74585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333385037,"PROMAREE SURGEL",0,"85300","SALLERTAINE","1020Z","Transform. & conserv. poisson, crustacés & mollusques",5,10,102,1020,"1020Z",NA,NA,NA,NA,NA,NA,FALSE
112,2012,NA,6132002,244614,392645,6769260,NA,NA,120,157506,NA,6926886,2064065,-6489,NA,-3713,NA,178401,2027013,677786,28827,7299675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45516,-45516,-418305,106369,287252,102923,496544,37310,210365,103876,351551,NA,NA,NA,7423430,7696742,-273312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333634160,"SOGOOD",1457,"59650","VILLENEUVE-D ASCQ","5610C","Restauration de type rapide",5,56,561,5610,"5610C",NA,NA,NA,NA,NA,NA,FALSE
113,2012,NA,NA,NA,NA,900061,NA,NA,3341,16140,62,919605,NA,NA,122849,-4436,230828,11556,371615,129220,21226,914230,5375,NA,NA,NA,NA,4053,NA,NA,NA,4053,NA,2836,NA,NA,2836,1216,6591,386,30836,NA,31222,970,24765,NA,25735,5487,NA,NA,954879,946152,8727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333821528,"ENTREPRISE DE MECANIQUE GENERALE ET DE PEINTURE DITE E M G E",69,"28110","LUCE","2561Z","Traitement et revêtement des métaux",5,25,256,2561,"2561Z",NA,NA,NA,NA,NA,NA,FALSE
114,2012,NA,NA,NA,413232,413232,NA,NA,NA,NA,748,413980,NA,NA,NA,NA,302224,8598,60436,13480,910,405560,8422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8422,NA,NA,NA,NA,1262,NA,NA,1262,-1262,NA,NA,413980,406822,7160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334203999,"GROUPEMENT INTERSERVICE ET CONSEIL EN EDITION ET EN PUBLICIT",306,"75008","PARIS","5814Z","Édition de revues et périodiques",5,58,581,5814,"5814Z",NA,NA,NA,NA,NA,NA,FALSE
115,2012,NA,NA,NA,1785528,1785528,37466,NA,1300,29397,NA,1853691,NA,NA,623425,3667,295583,29694,672448,397792,2,2072901,-219210,NA,NA,NA,NA,1426,NA,NA,NA,NA,NA,5151,NA,NA,5151,-3725,-222934,469,46000,NA,NA,2956,NA,NA,2956,43513,NA,-1600,1901586,2079408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334501335,"ETABLISSEMENTS BELAUD-PRESTIGE",1643,"16160","GOND PONTOUVRE","4391B","Travaux de couverture par éléments",5,43,439,4391,"4391B",NA,NA,NA,NA,NA,NA,FALSE
116,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9369,NA,NA,NA,NA,9369,-9369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,137,-137,-9506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9506,-9506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334515038,"S.A.S. CHATEAUVIEUX",428,"01160","NEUVILLE SUR AIN","8730A","Hébergement social pour personnes âgées",5,87,873,8730,"8730A",NA,NA,NA,NA,NA,NA,FALSE
117,2012,NA,NA,NA,29149,29149,NA,NA,NA,NA,NA,29149,NA,NA,NA,NA,24792,2120,NA,NA,NA,26912,2237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3629,-3629,-1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29149,30541,-1392,NA,NA,NA,NA,NA,NA,NA,1346,NA,NA,NA,NA,2120,NA,3175,NA,334766599,"AN'NOL FRANCE",688,"75008","PARIS","1393Z","Fabrication de tapis et moquettes",5,13,139,1393,"1393Z",NA,NA,NA,NA,NA,NA,FALSE
118,2012,NA,4703945,NA,40381,4744326,NA,NA,1725,58112,NA,4804165,819770,NA,NA,-7920,943113,179505,1374727,537477,191887,4143355,660809,NA,NA,NA,NA,6135,NA,NA,NA,6135,NA,NA,NA,NA,1144,4991,665801,3642,NA,27698,31341,12988,14036,NA,68623,-37282,68627,197930,4841642,4479680,361961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335039145,"LES BRASSEURS",362,"59650","VILLENEUVE-D ASCQ","7010Z","Activités des sièges sociaux",5,70,701,7010,"7010Z",NA,NA,NA,NA,NA,NA,FALSE
119,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7375,636,NA,NA,NA,8011,-8011,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,2,-8009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-8011,-8009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338029994,"MARINA INTERNATIONAL PROJECTS",1499,"06270","VILLENEUVE-LOUBET","6810Z","Activités des marchands de biens immobiliers",5,68,681,6810,"6810Z",NA,NA,NA,NA,NA,NA,FALSE
120,2012,NA,NA,11055889,1008241,12064130,222928,NA,1000,79457,2433,12369948,NA,NA,3291719,4505,4122432,300984,2299197,984704,2992,NA,810102,NA,NA,NA,NA,4921,NA,NA,NA,NA,11241,65720,NA,NA,76961,-72039,738062,NA,3507,NA,83507,28196197,6197,NA,9016,74491,68388,230631,12458376,11944842,NA,NA,NA,NA,NA,NA,NA,501373,100300,68,1324822,872657,NA,103419,2231638,NA,581484,338224629,"STAL INDUSTRIE",359,"41200","ROMORANTIN-LANTHENAY","3101Z","Fabrication de meubles de bureau et de magasin",5,31,310,3101,"3101Z",NA,NA,NA,NA,NA,NA,FALSE
121,2012,NA,NA,NA,517213,517213,NA,NA,NA,682717,NA,1199930,NA,NA,NA,NA,684324,13083,68566,26477,NA,835526,364403,NA,NA,NA,NA,293,1074067,NA,NA,1074360,78258,NA,NA,NA,83820,990540,1354943,42500,NA,NA,NA,NA,NA,NA,NA,42500,NA,NA,2316790,919347,1397443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338418296,"SA DU DOMAINE DE SPERONE",248,"20169","BONIFACIO","4299Z","Construction d'autres ouvrages de génie civil n.c.a.",5,42,429,4299,"4299Z",NA,NA,NA,NA,NA,NA,FALSE
122,2012,NA,NA,NA,2704173,2704173,NA,NA,2000,250,NA,2706423,NA,NA,NA,NA,1988588,23061,288100,119090,32674,2475890,230533,NA,NA,NA,NA,NA,NA,NA,3735,NA,NA,NA,NA,NA,NA,3735,234268,1000,NA,NA,1000,NA,NA,NA,4467,-3466,NA,NA,2711158,2480357,230801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338748536,"INSTITUT DES TECHNIQUES INFORMATIQUES ET COMMERCIALES.",1425,"75020","PARIS","8542Z","Enseignement supérieur",5,85,854,8542,"8542Z",NA,NA,NA,NA,NA,NA,FALSE
123,2012,NA,2595546,NA,1479373,4074919,NA,NA,NA,NA,NA,4074919,1853831,NA,8731,NA,1241853,20689,627248,213488,2479,3971513,103407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1124,NA,1124,-1124,102283,NA,NA,NA,358,NA,NA,NA,358,-358,NA,NA,4074919,3972994,101925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338797582,"CONSULTANTS INTERNATIONAUX ET COURTAGE",234,"92100","BOULOGNE BILLANCOURT","4690Z","Commerce de gros (commerce interentreprises) non spécialisé",5,46,469,4690,"4690Z",NA,NA,NA,NA,NA,NA,FALSE
124,2012,NA,101047,NA,NA,101047,NA,NA,NA,NA,3,NA,60195,13443,20,NA,20632,1103,23155,8019,3,129598,-28547,NA,NA,NA,5500,NA,NA,NA,NA,5500,NA,1138,NA,NA,1138,4362,-24186,828,NA,NA,828,990,NA,NA,990,-163,NA,NA,107378,131726,-24348,NA,NA,NA,NA,NA,NA,3471,10856,1,150,NA,NA,668,19805,13012,NA,339095549,"TENDANCE",1086,"06400","CANNES","4532Z","Commerce de détail d'équipements automobiles",5,45,453,4532,"4532Z",NA,NA,NA,NA,NA,NA,FALSE
125,2012,NA,74,NA,507114,507188,NA,NA,NA,NA,2,507191,74,NA,NA,NA,83984,NA,83366,29809,1,203777,303413,NA,NA,581504,NA,99941,NA,NA,12799,694244,NA,18709,NA,NA,20802,673442,976856,NA,150000,NA,150000,NA,NA,NA,41692,108308,NA,198948,1351435,465219,886216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339278509,"SOFIDELA",1515,"02190","GUIGNICOURT","6420Z","Activités des sociétés holding",5,64,642,6420,"6420Z",NA,NA,NA,NA,NA,NA,FALSE
126,2012,NA,119406,NA,23544,142950,NA,NA,NA,2564,259,NA,44589,-1905,NA,NA,40128,2599,49301,19521,1,155558,-9785,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,871,NA,NA,871,-763,-10548,NA,NA,NA,NA,35,NA,NA,35,-35,NA,NA,145880,156463,-10583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339425514,"STAR - TREK",1188,"75009","PARIS","4761Z","Commerce de détail de livres en magasin spécialisé",5,47,476,4761,"4761Z",NA,NA,NA,NA,NA,NA,FALSE
127,2012,NA,1131151,NA,30768,1161919,NA,NA,7051,NA,7878,NA,267102,-1819,140,-514,544733,9257,235551,74255,2857,1163476,13373,NA,NA,NA,NA,44,NA,NA,NA,44,NA,NA,NA,NA,17813,-17769,-4397,NA,NA,NA,NA,225,NA,NA,225,-225,NA,NA,1176892,1181514,-4622,NA,NA,NA,NA,NA,NA,9763,383482,12,NA,NA,NA,831,109445,117215,NA,339563645,"CHATELIER DISTRIBUTION",1419,"67450","LAMPERTHEIM","5621Z","Services des traiteurs",5,56,562,5621,"5621Z",NA,NA,NA,NA,NA,NA,FALSE
128,2012,NA,NA,NA,64237,64237,NA,NA,NA,871,NA,65108,NA,-2000,NA,NA,42403,1316,16917,4075,NA,64150,957,NA,NA,NA,NA,9,NA,NA,NA,9,NA,472,NA,NA,NA,-463,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,65117,64697,420,NA,NA,NA,NA,NA,NA,4184,6001,1,11859,NA,NA,NA,10925,6593,NA,340347384,"LA JOCONDE",261,"94800","VILLEJUIF","8299Z","Autres activités de soutien aux entreprises n.c.a.",5,82,829,8299,"8299Z",NA,NA,NA,NA,NA,NA,FALSE
129,2012,NA,512614,NA,NA,512614,NA,NA,250,NA,4,512868,403121,NA,NA,NA,84029,4393,54052,11462,412,505029,7839,NA,NA,NA,NA,3624,NA,NA,NA,3624,NA,938,NA,NA,938,2686,10525,2282,NA,NA,2282,NA,NA,NA,2962,-680,NA,1077,518774,510006,8768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340383074,"PROGESPORT",636,"83130","LA GARDE","4764Z","Commerce de détail d'articles de sport en magasin spécialisé",5,47,476,4764,"4764Z",NA,NA,NA,NA,NA,NA,FALSE
130,2012,NA,12677,9228599,31971,9273247,17168,NA,NA,107938,118,9398471,NA,-8240,1277972,-52837,2460784,159155,2394801,1005641,105,9529110,-130639,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,15086,-15079,-145718,3781,NA,NA,3781,24988,8638,NA,33625,NA,NA,NA,9402259,9577821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340409713,"L ALBIGEOISE DE PATONS",1478,"12260","VILLENEUVE","1071A","Fabrication industrielle de pain et de pâtisserie fraîche",5,10,107,1071,"1071A",NA,NA,NA,NA,NA,NA,FALSE
131,2012,NA,3223,NA,95238,98461,NA,NA,NA,NA,140,98601,NA,NA,NA,NA,98806,400,NA,NA,2,103728,-5126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396,NA,NA,396,-396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98601,104125,-5523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340515659,"TECHNORD",1069,"59310","MOUCHIN","4618Z","Interm. spécialisés commerce d'autres produits spécifiques",5,46,461,4618,"4618Z",NA,NA,NA,NA,NA,NA,FALSE
132,2012,NA,NA,NA,NA,58839,-3548,NA,22299,12278,NA,89868,NA,NA,26476,-5412,28148,4939,25451,10674,1,138295,-48426,NA,NA,NA,NA,1371,30126,NA,NA,31497,5289,11132,NA,21803,38224,-6728,-55154,NA,17759,NA,NA,NA,NA,NA,NA,17759,NA,NA,139124,176519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341084507,"IENA INVESTISSEMENTS",489,"16800","SOYAUX","8292Z","Activités de conditionnement",5,82,829,8292,"8292Z",NA,NA,NA,NA,NA,NA,FALSE
133,2012,NA,NA,612117,77053,689171,12635,NA,3221,NA,504,705531,NA,NA,317833,-3369,159015,14800,160511,56177,2616,729026,-23495,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,648,NA,NA,648,-647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705532,729674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341139434,"LA VOILERIE",243,"83600","FR","3012Z","Construction de bateaux de plaisance",5,30,301,3012,"3012Z",NA,NA,NA,NA,NA,NA,FALSE
134,2012,NA,NA,NA,401881,401881,12600,NA,NA,NA,4,414486,NA,NA,NA,NA,47804,13456,82518,32860,21408,245738,168747,NA,NA,NA,NA,NA,NA,NA,5375,5375,NA,NA,NA,NA,781,4593,173340,NA,NA,NA,NA,NA,NA,19944,341720,-341720,NA,-13749,419861,574491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341715886,"TOKENDO",950,"13600","LA CIOTAT","7490B","Activités spécialisées, scientifiques et techniques diverses",5,74,749,7490,"7490B",NA,NA,NA,NA,NA,NA,FALSE
135,2012,NA,NA,NA,306236,306236,NA,NA,NA,NA,35,306271,19,NA,NA,NA,156783,5460,60000,24816,NA,249361,56911,NA,1508,1778,NA,4034,NA,2588,174,NA,NA,NA,NA,NA,NA,8574,63977,NA,NA,NA,NA,NA,NA,NA,180,-180,NA,12950,314845,263999,50847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341792455,"CEINTURES NOIRES",314,"75017","PARIS","7022Z","Conseil pour les affaires et autres conseils de gestion",5,70,702,7022,"7022Z",NA,NA,NA,NA,NA,NA,FALSE
136,2012,NA,858220,NA,49490,907711,NA,NA,NA,12582,397,920690,535735,-34012,390,316,157704,15613,NA,70356,8204,893662,27027,NA,NA,NA,NA,272,99,3321,NA,3691,24,347,NA,NA,5030,-1339,25689,1452,NA,NA,1452,203,NA,NA,203,NA,NA,NA,925834,898895,26938,NA,NA,NA,NA,NA,NA,2859,23995,3,NA,NA,6,1665,64520,120393,NA,341824084,"ORLEANS DIFFUSION EUROPE",1568,"45400","SEMOY","4649Z","Commerce de gros d'autres biens domestiques",5,46,464,4649,"4649Z",NA,NA,NA,NA,NA,NA,FALSE
137,2012,NA,3760621,NA,290115,4050737,-22039,NA,4280,64177,1007,4098163,2206666,NA,NA,-6165,1020056,26812,603412,228975,34213,4339005,-240842,NA,NA,NA,NA,92,NA,NA,NA,92,NA,NA,NA,NA,15934,-15842,-256684,193115,205814,NA,398929,36685,NA,NA,191546,207382,NA,NA,4497185,4546486,NA,NA,NA,NA,NA,NA,NA,53577,44262,26,215589,186588,NA,NA,204860,199390,NA,342030665,"GRANVILMER",624,"50290","BR","4638A","Commerce de gros de poissons, crustacés et mollusques",5,46,463,4638,"4638A",342030665,"GRANVILMER",NA,NA,"50290 BREVILLE SUR MER","Autres coopératives",TRUE
138,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5036,NA,6000,2814,NA,13850,-13850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342501392,"ISABELLE MIR CONSEIL",887,"75015","PARIS","7311Z","Activités des agences de publicité",5,73,731,7311,"7311Z",NA,NA,NA,NA,NA,NA,FALSE
139,2012,NA,92767,2025879,NA,2118647,8761,NA,NA,3015,3316,2133739,587891,-528216,873308,-15818,446170,39805,283484,NA,3093,1858613,NA,NA,NA,NA,NA,1109,NA,NA,NA,1109,NA,31402,NA,NA,31402,-30293,244833,NA,NA,4506,NA,41276,4139,NA,45415,-40909,NA,68001,2139354,2003431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342584117,"OLVAC",1232,"85430","LA BOISSIERE-DES-LANDES","1013A","Préparation industrielle de produits à base de viande",5,10,101,1013,"1013A",NA,NA,NA,NA,NA,NA,FALSE
140,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,4503,4503,NA,NA,NA,NA,5867,NA,NA,NA,NA,19060,-14558,NA,NA,34560,NA,26809,117019,NA,NA,178388,NA,564,NA,NA,564,177825,163267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182891,19624,163267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342613874,"SEIGES (SOCIETE D'ETUDES D'INVESTISSEMENTS ET DE GESTION)",1515,"75016","PARIS","6420Z","Activités des sociétés holding",5,64,642,6420,"6420Z",NA,NA,NA,NA,NA,NA,FALSE
141,2012,NA,NA,NA,NA,23705,NA,NA,NA,NA,1,23706,NA,NA,NA,NA,23906,71,NA,NA,6,25289,-1583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23706,25289,-1583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342992195,"MODUTEL INTERNATIONAL",314,"75005","PARIS","7022Z","Conseil pour les affaires et autres conseils de gestion",5,70,702,7022,"7022Z",NA,NA,NA,NA,NA,NA,FALSE
142,2012,NA,5636,NA,86775,92411,NA,NA,NA,NA,32,92443,4354,-1527,6801,71,NA,1326,43517,10266,264,91346,1097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92443,91346,1097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343152658,"LE CLUB",1458,"33500","LIBOURNE","9602A","Coiffure",5,96,960,9602,"9602A",NA,NA,NA,NA,NA,NA,FALSE
143,2012,NA,676463,NA,1787,678250,18852,4000,6797,11500,49,719448,NA,NA,55123,NA,158785,NA,182395,37672,71,592279,127168,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,77907,NA,NA,77907,-77707,49461,211,NA,NA,211,600,NA,NA,600,NA,NA,NA,719859,670786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343165205,"SARL D'EXPLOITATION CHATEAU LA CROIX TAILLEFER",483,"33500","POMEROL","0121Z","Culture de la vigne",5,1,12,121,"0121Z",NA,NA,NA,NA,NA,NA,FALSE
144,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1219,NA,NA,NA,NA,1219,-1219,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,7,-1212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1219,-1212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343622643,"SOCIETE AUXILIAIRE POUR L'INDUSTRIE",114,"75116","PARIS","6820B","Location de terrains et d'autres biens immobiliers",5,68,682,6820,"6820B",NA,NA,NA,NA,NA,NA,FALSE
