,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,Libellé,Code
1527,829,Activités de soutien aux entreprises n.c.a.,3,82,9.0,,,Activités de services administratifs et de soutien,N
1528,6820A,Location de logements,5,68,2.0,0.0,A,Activités immobilières,L
1529,941,"Activ. organisations économiques, patronales et professionnelles",3,94,1.0,,,Autres activités de services,S
1530,7311,Activités des agences de publicité,4,73,1.0,1.0,,"Activités spécialisées, scientifiques et techniques",M
1531,1032Z,Préparation de jus de fruits et légumes,5,10,3.0,2.0,Z,Industrie manufacturière,C
1532,6203Z,Gestion d'installations informatiques,5,62,0.0,3.0,Z,Information et communication,J
1533,551,Hôtels et hébergement similaire,3,55,1.0,,,Hébergement et restauration,I
1534,8730,Hébergement social pour personnes âgées ou handicapées physiques,4,87,3.0,0.0,,Santé humaine et action sociale,Q
1535,8710B,Hébergement médicalisé pour enfants handicapés,5,87,1.0,0.0,B,Santé humaine et action sociale,Q
1536,9602B,Soins de beauté,5,96,0.0,2.0,B,Autres activités de services,S
1537,382,Traitement et élimination des déchets,3,38,2.0,,,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",E
1538,7711B,Location de longue durée voitures & véhicules automobiles légers,5,77,1.0,1.0,B,Activités de services administratifs et de soutien,N
1539,2219Z,Fabrication d'autres articles en caoutchouc,5,22,1.0,9.0,Z,Industrie manufacturière,C
1540,2540,Fabrication d'armes et de munitions,4,25,4.0,0.0,,Industrie manufacturière,C
1541,4939B,Autres transports routiers de voyageurs,5,49,3.0,9.0,B,Transports et entreposage,H
1542,1330Z,Ennoblissement textile,5,13,3.0,0.0,Z,Industrie manufacturière,C
1543,4642,Commerce de gros d'habillement et de chaussures,4,46,4.0,2.0,,Commerce ; réparation d'automobiles et de motocycles,G
1544,3250B,Fabrication de lunettes,5,32,5.0,0.0,B,Industrie manufacturière,C
1545,854,Enseignement supérieur et post-secondaire non supérieur,3,85,4.0,,,Enseignement,P
1546,1621Z,Fabrication de placage et de panneaux de bois,5,16,2.0,1.0,Z,Industrie manufacturière,C
1547,4782Z,Comm. détail textiles habillt & chaussures s/éventaires & marchés,5,47,8.0,2.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1548,2221,"Fabrication plaques, feuilles, tubes et profilés en plastique",4,22,2.0,1.0,,Industrie manufacturière,C
