siren,Subventions d’exploitation
503324410,NA
503340853,NA
503401242,NA
503407769,NA
503495426,NA
503603698,NA
503618498,NA
503626251,NA
503683443,NA
503744179,NA
503847170,NA
503991200,NA
504058454,NA
504058579,70
504260134,500
504298431,NA
504299058,NA
504316530,NA
504398629,NA
504425380,NA
504429499,NA
504461013,NA
504583253,NA
504585886,NA
504919002,NA
504941741,NA
505124305,2015
505127688,NA
505134015,NA
505299131,NA
505389270,NA
505392035,NA
507512226,NA
507525764,639
507588234,NA
507604809,NA
507611465,NA
507615441,1502
507628774,272
507726909,NA
507771483,55400
507780351,NA
507833887,NA
508042975,NA
508158862,NA
508197902,NA
508231487,NA
508488566,NA
508517158,NA
508589298,NA
508609039,NA
508687936,NA
508789716,NA
508900420,NA
509020822,NA
509062295,NA
509112520,NA
509114740,NA
509140075,NA
509207387,NA
509263117,NA
509289203,NA
509299038,375
509434114,NA
509529848,NA
509529939,NA
509530549,NA
509530770,NA
509531224,3041
509531273,NA
509531315,NA
509531323,NA
509531398,NA
509531430,NA
509531471,NA
509540217,6764
509540241,NA
509540423,NA
509540472,5952
509541470,NA
509541512,1982
509541538,20250
509566899,2565
509573317,NA
509626495,NA
509750469,NA
509898540,NA
509964482,NA
510003973,NA
510188147,NA
510223969,NA
510297641,NA
510305121,NA
510340029,876
510400955,NA
510468119,NA
510507213,NA
510529985,NA
510553191,NA
510819329,NA
510827462,NA
510891377,NA
510907892,NA
510975865,NA
511042343,NA
511139925,NA
511186728,NA
511380420,NA
511469017,NA
511574683,NA
511578460,NA
511648412,NA
511813479,NA
511836207,NA
511872582,NA
512056581,NA
512059577,NA
512065723,1500
512132671,NA
512140831,NA
512172040,NA
512195744,NA
512234733,NA
512239104,NA
512307703,NA
512345828,NA
512393745,NA
512427824,NA
512430323,NA
512448705,8000
512508060,NA
512552233,NA
512562539,NA
512801432,NA
512870130,NA
513138024,NA
513186775,NA
513194365,NA
513252551,NA
513283960,NA
513295568,21872
513300640,NA
513370411,NA
513387852,NA
513397950,NA
513477547,NA
513560201,NA
513567743,NA
513647743,NA
513688903,NA
513707463,NA
513724963,NA
513732867,NA
513735381,NA
513782946,NA
513797076,NA
513801589,NA
513975813,NA
514157502,2297
514159938,16494
514182351,NA
514331214,NA
514435734,NA
514582196,NA
514673805,NA
514716307,NA
514867928,NA
514938208,NA
514960053,NA
515126209,NA
515203826,NA
515231132,NA
515381697,NA
517397683,819
517437893,NA
517490314,NA
517619243,NA
517658910,NA
517760120,NA
517773750,NA
517871893,NA
517890216,NA
518030960,NA
518069315,NA
518077474,NA
518107123,NA
518115753,NA
518151790,NA
518165667,NA
518283528,32963
518286786,NA
518312434,2000
518323829,NA
518599436,NA
518602032,NA
518656160,NA
518738521,NA
518858949,NA
518859178,NA
518982475,NA
518990718,NA
519004253,NA
519022826,NA
519022917,NA
519022966,NA
519127732,NA
519143275,NA
519144059,NA
519157424,NA
519283857,NA
519342166,NA
519379051,NA
519391882,NA
519424360,NA
519433023,NA
519523625,NA
519534051,NA
519662159,NA
519715593,NA
519730204,NA
519828255,NA
520021312,NA
520035452,NA
520043332,NA
520097528,NA
520219247,NA
520222522,NA
520320607,NA
520423088,NA
520514456,NA
520598657,NA
520649898,NA
520685348,NA
520871567,NA
520971136,NA
521000547,1000
521333096,NA
521347989,NA
521358804,NA
521432906,NA
521547273,NA
521647933,NA
521701292,2000
521708172,NA
521896761,NA
521896886,NA
522082742,NA
522192236,10068
522214865,NA
522230481,1595
522286921,NA
522461151,NA
522517168,NA
522604404,NA
522696632,16153
522723287,NA
522761139,34000
522815935,NA
522825702,NA
522858737,NA
522969963,NA
523072254,NA
523072528,NA
523257137,NA
523411866,NA
523420875,NA
523431443,400
523436020,NA
523614410,NA
523647006,NA
523688893,NA
523726867,NA
523808335,NA
523809598,NA
523816627,NA
523845188,NA
523846574,NA
523862084,NA
524029444,NA
524038106,NA
524111309,NA
524157872,NA
524202421,NA
524232154,NA
524304557,NA
524315033,NA
524584810,NA
524607868,NA
524668324,995
524713385,5000
524735503,1600
524764883,NA
524823630,NA
524960796,NA
525004412,NA
525136180,NA
525181681,NA
525232583,NA
525268975,NA
525316584,NA
525318549,NA
527537443,NA
527582506,NA
527803340,NA
527829378,NA
527884787,NA
527903314,NA
527985501,NA
528043698,NA
528101918,NA
528102767,NA
528108152,NA
528237803,NA
528242829,NA
528281959,3400
528283211,NA
528327224,NA
528365604,NA
528366206,NA
528428246,NA
528459621,NA
528625072,NA
528650203,4000
528701543,NA
528702095,NA
528792401,NA
528885858,NA
528923832,NA
528947260,NA
528974777,NA
528976426,NA
528987696,NA
528994460,634
529047003,NA
529056897,NA
529056947,NA
529063620,NA
529065443,NA
529092710,NA
529171944,NA
529176109,NA
529196719,NA
529198103,NA
529217945,NA
529287401,NA
529319527,NA
529325284,NA
529338956,NA
529367880,NA
529391336,NA
529412959,NA
529443673,NA
529494882,NA
529553943,NA
529639411,NA
529639544,NA
529667628,NA
529743577,NA
529808636,NA
529853376,NA
529881864,NA
529892366,NA
529949083,NA
529990046,NA
530093228,NA
530232594,NA
530336874,394
530508167,NA
530553122,NA
530611193,NA
530677475,NA
530679083,NA
530833524,NA
530944966,NA
530962232,NA
530976661,NA
530993666,NA
531062669,NA
531137594,NA
531143725,NA
531227338,NA
531248656,NA
531373520,NA
531415438,NA
531468072,NA
531485100,NA
531546869,NA
531615169,NA
531729150,NA
531748689,NA
531821924,NA
531920171,NA
531964658,NA
531991479,311389
532034261,NA
532060761,NA
532127750,NA
532139722,NA
532179942,NA
532182284,NA
532265154,NA
532290392,NA
532321916,NA
532408275,NA
532488897,NA
532570900,NA
532609971,NA
532610672,NA
532613049,NA
532790144,NA
532800646,NA
532814563,NA
532980182,NA
533051900,NA
533118618,NA
533138541,NA
533224978,1600
533237079,NA
533262739,NA
533328522,NA
533406146,NA
533429981,NA
533587903,NA
533603783,NA
533727830,NA
533730792,NA
533778353,NA
533805909,NA
533858726,NA
533871232,NA
533920393,NA
534048095,NA
534055249,NA
534281514,NA
534379698,NA
534393509,NA
534399704,NA
534462346,1375
534501184,NA
534529375,NA
534537055,NA
534540695,NA
534662432,NA
534693809,21000
534760574,NA
534859590,NA
534913124,NA
534936448,NA
535021554,NA
535057053,NA
535146922,NA
535165013,NA
535239578,NA
535270565,NA
535274948,NA
535298186,NA
535299010,NA
535314231,NA
535348270,NA
535393151,NA
535398770,NA
537220139,NA
537444457,NA
537499584,NA
537548398,NA
537558355,NA
537595480,NA
537640633,NA
537668733,NA
537673568,NA
537690042,NA
537749343,NA
537792442,NA
537910036,NA
537936106,NA
538005901,NA
538007956,NA
538042003,NA
538110842,NA
538117359,NA
538175985,NA
538176082,NA
538199811,NA
538207994,NA
538208786,NA
538282922,NA
538350091,NA
538374745,NA
538383464,NA
538487687,NA
538571894,NA
538620469,NA
538642562,NA
538769696,NA
538809278,NA
538830266,NA
538847260,NA
539027086,NA
539162149,NA
539191270,NA
539191312,NA
539202879,NA
539300400,NA
539388553,NA
539463174,NA
539471979,NA
539486951,NA
539506840,NA
539527499,NA
539556415,4193
539742270,7800
539748400,NA
539759340,NA
539766964,NA
539822692,NA
539889030,NA
539984633,NA
539997551,NA
542014584,NA
542021407,NA
552126310,NA
552147621,NA
562007856,NA
562030114,200644
562056457,NA
562068767,NA
562083766,NA
572048874,NA
572154904,NA
572163178,NA
592020473,NA
592051726,NA
602917387,NA
604200816,NA
632017760,NA
642046668,NA
672020237,3000
682012349,NA
692008303,NA
692024219,NA
692049547,NA
697020931,1426
697320737,NA
702021809,NA
706520525,NA
712057330,NA
718500457,13985
723620316,110565
728501164,NA
729200998,NA
732043393,NA
732065578,NA
738502558,271
749878880,NA
749906145,NA
749915500,NA
749923058,NA
750351843,NA
750352569,NA
750386088,NA
750530792,NA
750586182,NA
750768517,NA
750786741,NA
750797102,NA
750843559,2352
750929739,NA
750949778,NA
751047523,NA
751441502,NA
751684424,NA
751746124,NA
751882721,NA
752125112,NA
752148114,NA
752496760,NA
752650952,NA
752787473,NA
752993105,NA
753114826,NA
753413244,NA
753461789,NA
753698505,NA
753748888,NA
753936020,NA
781899521,NA
784884553,NA
788450922,NA
788468643,NA
816220412,NA
936380062,NA
968202770,NA
997927728,NA
5720651,NA
5980016,NA
35720036,NA
36820348,NA
36920643,2644
37220852,NA
55806673,70
55808034,NA
57801342,NA
57815839,NA
58807413,NA
62802186,NA
66309808,NA
66801655,NA
67800946,NA
70805320,NA
85581494,38491
85780971,1500
86080702,NA
87280954,NA
300068640,NA
300094794,NA
300153608,NA
300218468,NA
300218815,NA
300426046,NA
300609104,NA
300644838,NA
300747391,NA
300817087,NA
301171013,NA
301222378,NA
301340873,NA
301420469,115708
301460861,NA
301546230,NA
302020177,2800
302021357,NA
302137435,5483
302304373,NA
302387261,NA
302395496,NA
302454350,NA
302517917,NA
302565049,NA
302640453,NA
303159909,3397
303218291,NA
303291645,NA
303301691,NA
303322408,NA
303679815,394
304292451,NA
304351778,NA
304429772,NA
304486897,20737
304489511,NA
304557861,2188
304604101,NA
304803851,9800
304851595,NA
304915119,NA
305118945,833
305304479,NA
305306177,NA
305365462,2613
305663296,NA
305810624,NA
305821225,NA
306092669,46750
306138868,NA
306461666,NA
306461716,NA
306733775,NA
307033969,NA
307047910,NA
307132001,1000
307165993,NA
307277129,NA
307330902,NA
307772269,NA
308093269,NA
308338383,NA
308800556,NA
309095396,NA
309172518,NA
309318566,NA
309344729,NA
309382661,NA
309467397,4550
309494953,1400
309693612,NA
309931830,NA
309932580,NA
309989705,NA
310290663,NA
310455928,NA
310517693,NA
310530068,NA
310552617,NA
310634100,NA
310791579,NA
310792668,3396
311059034,NA
311069082,NA
311315428,NA
311650915,149934
311702096,NA
311794697,NA
311821920,2770
