siren,Total des produits d’exploitation,Total des produits financiers,Total des produits exceptionnels,Autres produits
428171540,93676,NA,2,NA
428208193,800,NA,7400,NA
428285639,NA,10000,28200,NA
428288930,2238258,296,NA,251
428703896,115336049,961105,1516820,374
428744544,2433348,NA,NA,NA
428847545,405295,2521,560000,3
429124969,446982,NA,139156,14
429131089,333028,3,1809,NA
429213929,31568270,471193,702205,651
429228182,1833888,8985,NA,NA
429326200,2563823,1964,NA,3451
429472723,1303405,NA,NA,NA
429670003,709871,409,714,236
429714587,1440847,NA,NA,7
429885627,1036574,NA,3023,4
429906159,NA,29,NA,NA
429994585,1972177,NA,NA,10
430068221,87820,9800,NA,NA
430133959,192262,NA,NA,364
430386466,NA,NA,NA,1520
430416172,NA,NA,NA,NA
430433193,1241495,NA,NA,4014
431288620,4928727,195799,28832,NA
431346147,80054,NA,359,NA
431372051,607134,NA,NA,743
431853035,NA,2715,NA,NA
431896356,121324,NA,NA,111
432107472,166090,NA,NA,NA
432167500,59288,NA,NA,NA
432225803,4206305,4435,NA,698
432259877,71049,NA,NA,821
432313021,738138,NA,18,749
432346716,NA,238,NA,15
432472413,1294315,NA,NA,NA
432524502,850,NA,NA,NA
432684280,1893644,NA,NA,NA
432988913,NA,2103,NA,43
433002458,34337,NA,NA,-104
433313574,4097955,272,NA,182
433567799,8628822,73007,5518,319887
433641933,14776,NA,NA,1
433645694,NA,NA,NA,NA
433818630,980177,133,3500,1
433842044,242281490,14563627,NA,1096085
433887874,1305,654,NA,1305
433912623,NA,2877,NA,NA
434036042,9798942,3394223,260448,644587
434036612,2714845,NA,1628,NA
434052064,77369,NA,8361,NA
434352084,27279000,NA,NA,NA
434543088,4852330,514,21149,3085
434578258,15833427,NA,NA,NA
434603841,1717509,NA,90520,35
434657607,235520,NA,20100,NA
434856993,265768,1161,59634,78
434897633,714515,NA,17780,NA
435092036,877046,NA,23626,NA
435126040,NA,NA,NA,NA
435170667,239702,NA,NA,NA
437627052,1241619,NA,NA,1
437662513,84986,6,NA,NA
437733330,414598,NA,966052,20
437939879,593696,NA,20275,NA
437996036,906492,NA,NA,47
438101677,582925,397229,190573,3504
438170979,116603,NA,120000,116603
438307183,NA,135484,NA,NA
438312571,297131,NA,NA,239
438448193,2416721,NA,NA,NA
438448490,2451318,NA,NA,NA
438450694,1896923,NA,NA,NA
438565285,73109,NA,NA,1
438616583,176444,NA,NA,11
438754467,NA,NA,300000,NA
438768582,5757529,NA,2893,443
438862153,3300,NA,NA,NA
438895716,2729092,1203,15688,40
438932501,83213,NA,1124,NA
439102906,NA,NA,NA,3
439124371,2657636,NA,NA,NA
439193889,1597099,11487,643854,1457
439273384,1480090,NA,NA,173
439342965,399246,NA,NA,1964
439409111,158936,NA,NA,4
439559139,96480,30232,NA,NA
439749953,787356,2278,13409,NA
439762873,4052417,96,32,NA
439972415,977196,NA,22004,10
439972746,87831,12848,NA,NA
440080695,515593,NA,10000,NA
440109593,43518,NA,NA,1
440220226,NA,3931777,253723,103
440286946,51930,157,NA,14250
440304988,466336,NA,3333,7
440516847,867414,NA,42413,4
440557510,87169,NA,NA,NA
440607216,156166,NA,NA,1
440759389,303854,NA,NA,6
440855948,163340,NA,NA,NA
440862407,752151,2104,NA,851
440927499,NA,571,NA,NA
440955300,1509043,24609,NA,NA
440976546,528892,3187,NA,1
441057973,170337,NA,NA,102
441110137,6018,NA,27941,35
441110566,1181671,NA,NA,8
441145539,NA,NA,NA,NA
