ape,ape_name,ape_len,ape_division,ape_groupe,ape_classe,ape_sous_classe
8610Z,Activités hospitalières,5,86,861,8610,8610Z
1089Z,Fabrication d'autres produits alimentaires n.c.a.,5,10,108,1089,1089Z
1392Z,"Fabrication d'articles textiles, sauf habillement",5,13,139,1392,1392Z
5610A,Restauration traditionnelle,5,56,561,5610,5610A
4624Z,Commerce de gros (commerce interentreprises) de cuirs et peaux,5,46,462,4624,4624Z
9602A,Coiffure,5,96,960,9602,9602A
8610Z,Activités hospitalières,5,86,861,8610,8610Z
4624Z,Commerce de gros (commerce interentreprises) de cuirs et peaux,5,46,462,4624,4624Z
3291Z,Fabrication d’articles de brosserie,5,32,329,3291,3291Z
5224A,Manutention portuaire,5,52,522,5224,5224A
4638B,Commerce de gros alimentaire spécialisé divers,5,46,463,4638,4638B
1051A,Fabrication de lait liquide et de produits frais,5,10,105,1051,1051A
6810Z,Activités des marchands de biens immobiliers,5,68,681,6810,6810Z
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
1061B,Autres activités du travail des grains,5,10,106,1061,1061B
8230Z,"Organisation de foires, salons professionnels et congrès",5,82,823,8230,8230Z
4312B,Travaux de terrassement spécialisés ou de grande masse,5,43,431,4312,4312B
9522Z,Réparation appareils électromén. & équipts maison & jardin,5,95,952,9522,9522Z
0811Z,"Extraction pierres ornement. construc. calcaire industriel, gypse",5,8,81,811,0811Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4771Z,Commerce de détail d'habillement en magasin spécialisé,5,47,477,4771,4771Z
6622Z,Activités des agents et courtiers d'assurances,5,66,662,6622,6622Z
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
1083Z,Transformation du thé et du café,5,10,108,1083,1083Z
6622Z,Activités des agents et courtiers d'assurances,5,66,662,6622,6622Z
9311Z,Gestion d'installations sportives,5,93,931,9311,9311Z
4638A,"Commerce de gros de poissons, crustacés et mollusques",5,46,463,4638,4638A
4759B,Commerce de détail d'autres équipements du foyer,5,47,475,4759,4759B
4752A,"Comm. détail de quincaillerie, peintures et verres (mag.< 400 m2)",5,47,475,4752,4752A
5224A,Manutention portuaire,5,52,522,5224,5224A
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
8559B,Autres enseignements,5,85,855,8559,8559B
4751Z,Commerce de détail de textiles en magasin spécialisé,5,47,475,4751,4751Z
4761Z,Commerce de détail de livres en magasin spécialisé,5,47,476,4761,4761Z
6832A,Administration d'immeubles et autres biens immobiliers,5,68,683,6832,6832A
2349Z,Fabrication d'autres produits céramiques,5,23,234,2349,2349Z
2651B,Fabrication d'instrumentation scientifique et technique,5,26,265,2651,2651B
4761Z,Commerce de détail de livres en magasin spécialisé,5,47,476,4761,4761Z
5610C,Restauration de type rapide,5,56,561,5610,5610C
4631Z,Commerce de gros (commerce interentreprises) de fruits et légumes,5,46,463,4631,4631Z
8730A,Hébergement social pour personnes âgées,5,87,873,8730,8730A
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4646Z,Commerce de gros de produits pharmaceutiques,5,46,464,4646,4646Z
4642Z,Commerce de gros d'habillement et de chaussures,5,46,464,4642,4642Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
6920Z,Activités comptables,5,69,692,6920,6920Z
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
5630Z,Débits de boissons,5,56,563,5630,5630Z
