,year,"Autres impôts, taxes et versements assimilés",Ventes de marchandises,Production vendue biens,Production vendue services,Chiffres d’affaires nets,Production stockée,Production immobilisée,Subventions d’exploitation,"Reprises sur amortissements et provisions, transfert de charges",Autres produits,Total des produits d’exploitation,Achats de marchandises (y compris droits de douane),Variation de stock (marchandises),Achats de matières premières et autres approvisionnements,Variation de stock (matières premières et approvisionnements),Autres achats et charges externes,"Impôts, taxes et versements assimilés",Salaires et traitements,Charges sociales,Autres charges,Total des charges d’exploitation,Résultat d'exploitation,Bénéfice attribué ou perte transférée,Perte supportée ou bénéfice transféré,Produits financiers de participations,Produits des autres valeurs mobilières et créances de l’actif immobilisé,Autres intérêts et produits assimilés,Reprises sur provisions et transferts de charges financier,Différences positives de change,Produits nets sur cessions de valeurs mobilières de placement,Total des produits financiers,Dotations financières sur amortissements et provisions,Intérêts et charges assimilées,Différences négatives de change,Charges nettes sur cessions de valeurs mobilières de placement,Total des charges financières,Résultat financier,Résultat en cours avant impôts,Produits exceptionnels sur opérations de gestion,Produits exceptionnels sur opérations en capital,Reprises sur provisions et transferts de charges exceptionnel,Total des produits exceptionnels,Charges exceptionnelles sur opérations de gestion,Charges exceptionnelles sur opérations en capital,Dotations exceptionnelles aux amortissements et provisions,Total des charges exceptionnelles,Résultat exceptionnel,Participation des salariés aux résultats de l’entreprise,Impôts sur les bénéfices,Total des produits,Total des charges,Bénéfices ou perte (Total des produits ‐ Total des charges),Impôts différés (compte de résultat),Résultat net des sociétés mises en équivalence,Résultat net des entreprises intégrées,Résultat Groupe (Résultat net consolidé),Part des intérêts minoritaires (Résultat hors groupe),Résultat net part du groupe (part de la société mère),Rémunération d’intermédiaires et honoraires (hors rétrocessions),"Location, charges locatives et de copropriété",Effectif moyen du personnel,Sous‐traitance,Personnel extérieur à l’entreprise,"Rétrocessions d’honoraires, commissions et courtages",Taxe professionnelle,Montant de la TVA. collectée,Total TVA. déductible sur biens et services,Dividendes,siren,denomination,enthic,postal_code,town,ape,ape_name,ape_len,ape_division,ape_groupe,ape_classe,ape_sous_classe,ess_N° IDENTITE ENTREPRISE (SIREN),ess_RAISON SOCIALE,ess_ENSEIGNE,ess_SIGLE,ess_CP VILLE,ess_FORME JURIDIQUE,is_ess
35,2012,,5767,,505076,510843,,,20195,11175,,542213,1983,,171791,,,9457,13342,2864,21532,532279,9935,,,,,85,,,,85,,,,,7,78,10012,,1,,1,,,,120,-119,,2115,542299,534520,7778,,,,,,,22162,184026,1,13240,,,,40275,47232,,315250878,SOCIETE NOUVELLE ARTISTIC VOLTAIRE,550,75011,PARIS,9001Z,Arts du spectacle vivant,5,90,900,9001,9001Z,,,,,,,YANLIŞ
36,2012,,141555,,50126,191681,,,,,3,191684,,-8612,,,58960,3473,20767,9825,1781,198690,-7006,,,,,,,,,,,,,,,,-7006,,9881,,9881,,4128,,4128,5753,,,201565,202818,-1252,,,,,,,,,,,,,,,,,316190172,SOCIETE MARSEILLAISE D'EXPLOITATION ET DE COURTAGE,723,13420,GEMENOS,9329Z,Autres activités récréatives et de loisirs,5,93,932,9329,9329Z,,,,,,,YANLIŞ
37,2012,,,,,,,,,,,,,,,,30266,,,,,30265,-30265,56219,,,,1378,,,,1378,,,,,,1378,27331,,,,,,,,,,,,57597,30265,27331,,,,,,,,,,,,,,,,,316916790,,,,,,,,,,,,,,,,,,YANLIŞ
38,2012,,,,531708,531708,,,,,2,531710,,,,,354406,36095,,,2,402760,128950,,,,,,,,,,,,,,5762,-5762,123188,,63,,,,,,,63,,,531773,408522,123252,,,,,,,,,,,,,,,,,317409423,HUTHICO,1528,86000,POITIERS,6820A,Location de logements,5,68,682,6820,6820A,,,,,,,YANLIŞ
39,2012,,498657,,2916,501574,,,,1522,4291,507388,220265,,,,88249,19745,107091,38970,4662,500420,6967,,,,,3782,,,,3782,,,,,3339,443,7411,,,,,,,,,,,,,,7411,,,,,,,,,,,,,,,,,317782571,PROMOTION DU MEUBLE,704,44210,PORNIC,4759A,Commerce de détail de meubles,5,47,475,4759,4759A,,,,,,,YANLIŞ
40,2012,,,,,,,,,,1750,1750,,,,,240,11901,,,462,12603,-10853,,,4991,,1570,,,,6562,,28278,,,28278,-21716,-32569,,,,,,,,,,,,8312,40882,-32569,,,,,,,,,,,,,,,,,318843240,SAE IMMOBILIER NORD - PICARDIE - NORMANDIE - CHAMPAGNE,1499,60200,COMPIEGNE,6810Z,Activités des marchands de biens immobiliers,5,68,681,6810,6810Z,,,,,,,YANLIŞ
41,2012,,,,,,,,,,28691,28691,3096,-2999,,,16879,2235,,,,34722,-6031,,,,,,,,,,,2613,,,2613,-2613,-8644,,,,,90,,,90,-90,,,28691,37425,-8734,,,,,,,301,3713,,,,,,1182,2639,,318908621,ETABLISSEMENTS G. ABRAHAM,912,6220,VALLAURIS,4754Z,Commerce de détail appareils électroménagers (magasin spécialisé),5,47,475,4754,4754Z,,,,,,,YANLIŞ
42,2012,,,1514083,,1514083,,,,,78227,1592310,,,402851,-724,159716,15439,587087,226430,2452,1450434,,,,,,2962,4737,,,7699,,11388,,,11388,-3689,138187,2202,,,,,,,,2202,,41853,1602211,1503675,98536,,,,,,,,,,,,,,,,,319427126,KIM'S,992,75006,PARIS,5610A,Restauration traditionnelle,5,56,561,5610,5610A,,,,,,,YANLIŞ
43,2012,,,,,,,,,,,,,,,,2720,,,,,2720,-2720,,,,,,,,,,,,,,,,-2720,,,,,,,,,,,,,2720,-2720,,,,,,,,,,,,,,,,,319528444,MAG DIFFUSION,1499,75008,PARIS,6810Z,Activités des marchands de biens immobiliers,5,68,681,6810,6810Z,,,,,,,YANLIŞ
44,2012,,,,109002,109002,,,,1715,,110717,,,,,102180,1259,,,,104844,5874,313,,,,,,,9486,,,2,,,2,9484,15671,232,,,232,80,,,80,152,,2373,120749,107299,13450,,,,,,,2503,11170,,61317,,,1259,,,,319567426,INSTITUT D EXPERTISE COMPTABLE D ETUDES ECONOMIQUES ET FINAN,742,91390,MORSANG SUR ORGE,6920Z,Activités comptables,5,69,692,6920,6920Z,,,,,,,YANLIŞ
